paper_id,model,protocol,inputs,accuracy_percent,macro_f1_percent,kappa,group,source_sheet,source_row,source_url,caveat,verification,comparable_to_local
P10,SleepTransformer scratch,Expanded EDF,EEG,81.4,74.3,0.743,Expanded Sleep-EDF protocols,EDF_بزرگ,11,https://arxiv.org/pdf/2105.11043,Without SHHS pretraining,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P10,SleepTransformer + SHHS,Expanded EDF,EEG,84.9,78.8,0.789,Expanded Sleep-EDF protocols,EDF_بزرگ,12,https://arxiv.org/pdf/2105.11043,With SHHS pretraining,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P12,SleePyCo,Expanded EDF (paper lists 79 subjects),EEG,84.6,79,0.787,Expanded Sleep-EDF protocols,EDF_بزرگ,13,https://arxiv.org/pdf/2209.09452,Table 4; record exclusions must be aligned,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P13,CatBoost scratch,SC78,EEG + EOG,83,77.2,0.763,Expanded Sleep-EDF protocols,EDF_بزرگ,14,https://arxiv.org/pdf/2207.07753,"No EMG, Table 3",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P13,CatBoost scratch + EMG,SC78,EEG + EOG + EMG,83.1,77.5,0.766,Expanded Sleep-EDF protocols,EDF_بزرگ,15,https://arxiv.org/pdf/2207.07753,"Three signals, Table 3",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P15,DeepSleepNet-Lite,EDF-2018; ±30 min,EEG,80.3,75.2,0.73,Expanded Sleep-EDF protocols,EDF_بزرگ,16,https://arxiv.org/pdf/2108.10600,All epochs; uncertainty-rejected subset excluded,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P23,SalientSleepNet,EDF-153; 20-fold cross-subject,EEG + EOG,84.1,79.5,,Expanded Sleep-EDF protocols,EDF_بزرگ,17,https://www.ijcai.org/proceedings/2021/0360.pdf,Table 1; not the EDF-39 result,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P01,YASA full,NSRR / 585 held-out nights,EEG + EOG + EMG + age/sex,87.46,,0.8188,Other cohorts and aggregation types,سایر_آزمونها,5,https://elifesciences.org/articles/70092,"Nightwise median, NOT pooled. Exact kappa from supplied Figure 1.",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P01,YASA EEG+EOG ablation,NSRR / same 585 nights,EEG + EOG,86.92,,0.809,Other cohorts and aggregation types,سایر_آزمونها,6,https://elifesciences.org/articles/70092,Nightwise median; modality-matched but population and split differ.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P02,DeepSleepNet,MASS,EEG,86.2,81.7,0.8,Other cohorts and aggregation types,سایر_آزمونها,7,https://arxiv.org/abs/1703.04046,Pooled metrics; different cohort from EDF.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P03,SeqSleepNet original,MASS; 200 participants,EEG + EOG + EMG,87.1,,,Other cohorts and aggregation types,سایر_آزمونها,8,https://arxiv.org/abs/1809.10932,Original abstract accuracy; MF1/kappa not imported without table verification.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P05,IITNet L=9,MASS,EEG,86.5,80.7,0.8,Other cohorts and aggregation types,سایر_آزمونها,9,https://arxiv.org/abs/1902.06562,Best L=9 in original abstract.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P05,IITNet L=10,SHHS,EEG,86.7,79.8,0.81,Other cohorts and aggregation types,سایر_آزمونها,10,https://arxiv.org/abs/1902.06562,Best L=10 in original abstract.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P09,XSleepNet2 two signals,SHHS,EEG + EOG,88.8,81.8,0.843,Other cohorts and aggregation types,سایر_آزمونها,11,https://arxiv.org/pdf/2007.05492,Table II; pooled.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P09,XSleepNet2 three signals,MASS,EEG + EOG + EMG,87.6,83.8,0.823,Other cohorts and aggregation types,سایر_آزمونها,12,https://arxiv.org/pdf/2007.05492,Table II; pooled.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P10,SleepTransformer,SHHS,EEG,87.7,80.1,0.828,Other cohorts and aggregation types,سایر_آزمونها,13,https://arxiv.org/pdf/2105.11043,"Pooled, not external-cohort zero-shot result.",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P12,SleePyCo,MASS,EEG,86.8,82.5,0.811,Other cohorts and aggregation types,سایر_آزمونها,14,https://arxiv.org/pdf/2209.09452,Original Table 4.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P12,SleePyCo,Physio2018,EEG,80.9,78.9,0.737,Other cohorts and aggregation types,سایر_آزمونها,15,https://arxiv.org/pdf/2209.09452,Original Table 4.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P12,SleePyCo,SHHS,EEG,87.9,80.7,0.83,Other cohorts and aggregation types,سایر_آزمونها,16,https://arxiv.org/pdf/2209.09452,Original Table 4.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P16,SimpleSleepNet,DOD-H,Multichannel PSG,89.9,,0.846,Other cohorts and aggregation types,سایر_آزمونها,17,https://arxiv.org/pdf/1911.03221,Mean recording accuracy/kappa; reported F1=89.9 not entered as macro.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P16,SimpleSleepNet,DOD-O,Multichannel PSG,88.7,,0.823,Other cohorts and aggregation types,سایر_آزمونها,18,https://arxiv.org/pdf/1911.03221,Mean recording accuracy/kappa; reported F1=88.3 not entered as macro.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P19,PFTSleep,Held-out test,Multichannel full-night PSG,,,0.81,Other cohorts and aggregation types,سایر_آزمونها,19,https://pubmed.ncbi.nlm.nih.gov/40080690/,Summary-reported kappa; do not equate with EDF test.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P19,PFTSleep zero-shot,APPLES external,Multichannel full-night PSG,,,0.59,Other cohorts and aggregation types,سایر_آزمونها,20,https://pubmed.ncbi.nlm.nih.gov/40080690/,External-cohort kappa.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P19,PFTSleep zero-shot,MESA external,Multichannel full-night PSG,,,0.6,Other cohorts and aggregation types,سایر_آزمونها,21,https://pubmed.ncbi.nlm.nih.gov/40080690/,Before dataset-specific fine-tuning.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P19,PFTSleep zero-shot,MrOS visit 2 external,Multichannel full-night PSG,,,0.75,Other cohorts and aggregation types,سایر_آزمونها,22,https://pubmed.ncbi.nlm.nih.gov/40080690/,External-cohort kappa.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P19,PFTSleep fine-tuned,MESA external / adapted head,Multichannel full-night PSG,,,0.76,Other cohorts and aggregation types,سایر_آزمونها,23,https://pubmed.ncbi.nlm.nih.gov/40080690/,Fine-tuning result is not zero-shot.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P20,SOMNUS / SLEEPYLAND,SEDF-SC OOD,EEG/EOG ensemble + channel vote,92,75.4,0.835,Other cohorts and aggregation types,سایر_آزمونها,24,https://arxiv.org/html/2506.08574v2,Pooled test recordings; Supplementary Table 3 arXiv v2.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P20,SOMNUS / SLEEPYLAND,SEDF-ST OOD,EEG/EOG ensemble + channel vote,83.8,77.5,0.767,Other cohorts and aggregation types,سایر_آزمونها,25,https://arxiv.org/html/2506.08574v2,Pooled test recordings; Supplementary Table 3 arXiv v2.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P20,SOMNUS / SLEEPYLAND,DOD-H OOD,EEG/EOG ensemble + channel vote,90.3,85.7,0.861,Other cohorts and aggregation types,سایر_آزمونها,26,https://arxiv.org/html/2506.08574v2,Pooled test recordings; Supplementary Table 3 arXiv v2.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P20,SOMNUS / SLEEPYLAND,DOD-O OOD,EEG/EOG ensemble + channel vote,87.8,81.6,0.821,Other cohorts and aggregation types,سایر_آزمونها,27,https://arxiv.org/html/2506.08574v2,Pooled test recordings; Supplementary Table 3 arXiv v2.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P24,Independent validation of YASA,75 adults / 483 nights,EEG + EOG + EMG,82.9,,,Other cohorts and aggregation types,سایر_آزمونها,28,https://link.springer.com/article/10.1007/s44470-026-00059-x,Overall agreement as reported; lights-out/lights-on; not Figure 1 median.,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P30,TransSleep — 2022 preprint,MASS,EEG,87.4,82.6,,Other cohorts and aggregation types,سایر_آزمونها,29,https://arxiv.org/pdf/2203.12590,"Preprint Table 2, not necessarily final-publication score.",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
